Thousands of elderly people can't get pension as thumbprints don't match: BJP MP on Aadhaara__  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@htTweets: Elderly not getting pension due to mismatch of Aadhaar records {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@ndtv: Millions denied pension as finger prints don't match #Aadhaar data: BJP lawmaker  {'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.4404}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
@idea_cares I wish to port-in my Aircel pre-paid number to your network {'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.4588}
@just_outspoken @no2uid @Stupidosaur @anuraag31 That's what I said. Aadhaar is unnecessary for eCommerce issues. Ua__ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Elderly not getting pension due to mismatch of Aadhaar records--- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@ndtv: Millions denied pension as finger prints don't match #Aadhaar data: BJP lawmaker  {'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.4404}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
@ZeeNews: Thousands of elderly people can't get pension as thumbprints don't match: BJP MP on Aadhaar  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@ZeeNews: Thousands of elderly people can't get pension as thumbprints don't match: BJP MP on Aadhaar  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@svaradarajan: Heartbreaking story of India's most vulnerable held hostage to Aadhaar | great reporting by @sukanyashantha  {'neg': 0.244, 'neu': 0.564, 'pos': 0.193, 'compound': -0.024}
Elderly not getting pension due to mismatch of Aadhaar records--- {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@VipinRathaur @AnkitLal @narendramodi @Shehzad_Ind @pankhuripathak @yogita_singh13 @aishwaryverma9 @attorneybhartia__ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Q for those who've linked Aadhaar: - If you had a choice and your choice was free {'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.5106}
@ghoshutsav1 Documents required for sukanya samrddhi accounts are:- KYC details of Father/Parents/Guardian(includina__ {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
@ndtv: Millions denied pension as finger prints don't match #Aadhaar data: BJP lawmaker  {'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.4404}
@ndtv: Millions denied pension as finger prints don't match #Aadhaar data: BJP lawmaker  {'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.4404}
@ndtv: Millions denied pension as finger prints don't match #Aadhaar data: BJP lawmaker  {'neg': 0.195, 'neu': 0.805, 'pos': 0.0, 'compound': -0.4404}
@firstpost: You can get a duplicate #Aadhaar card in just five steps {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
